golden_supplier_id,supplier_name,inn,reliability_class,has_attr_conflict,year_month,lines_month,otif_month_pct,on_time_month_pct,in_full_month_pct,otif_prev_month_pct,mom_delta_pp,lines_period,otif_period_pct,on_time_period_pct,in_full_period_pct,rank_in_class,suppliers_in_class
70,"АО ""МеталлТорг-70""",2177052301,A,f,202602,13,53.85,53.85,92.31,,,63,58.73,60.32,90.48,1,46
70,"АО ""МеталлТорг-70""",2177052301,A,f,202603,9,66.67,66.67,88.89,53.85,12.82,63,58.73,60.32,90.48,1,46
70,"АО ""МеталлТорг-70""",2177052301,A,f,202604,7,57.14,57.14,85.71,66.67,-9.53,63,58.73,60.32,90.48,1,46
70,"АО ""МеталлТорг-70""",2177052301,A,f,202605,16,75.00,75.00,100.00,57.14,17.86,63,58.73,60.32,90.48,1,46
70,"АО ""МеталлТорг-70""",2177052301,A,f,202606,12,41.67,41.67,91.67,75.00,-33.33,63,58.73,60.32,90.48,1,46
70,"АО ""МеталлТорг-70""",2177052301,A,f,202607,6,50.00,66.67,66.67,41.67,8.33,63,58.73,60.32,90.48,1,46
21,"ПАО ""ГаммаПром-21""",5510509420,A,f,202602,17,64.71,70.59,88.24,,,74,56.76,63.51,86.49,2,46
21,"ПАО ""ГаммаПром-21""",5510509420,A,f,202603,16,50.00,62.50,75.00,64.71,-14.71,74,56.76,63.51,86.49,2,46
21,"ПАО ""ГаммаПром-21""",5510509420,A,f,202604,14,50.00,57.14,85.71,50.00,0.00,74,56.76,63.51,86.49,2,46
21,"ПАО ""ГаммаПром-21""",5510509420,A,f,202605,5,80.00,80.00,100.00,50.00,30.00,74,56.76,63.51,86.49,2,46
21,"ПАО ""ГаммаПром-21""",5510509420,A,f,202606,10,40.00,50.00,80.00,80.00,-40.00,74,56.76,63.51,86.49,2,46
21,"ПАО ""ГаммаПром-21""",5510509420,A,f,202607,12,66.67,66.67,100.00,40.00,26.67,74,56.76,63.51,86.49,2,46
27,"ИП ""БетаТрейд-27""",9604015376,A,f,202602,15,86.67,93.33,93.33,,,77,53.25,55.84,81.82,3,46
27,"ИП ""БетаТрейд-27""",9604015376,A,f,202603,19,47.37,47.37,78.95,86.67,-39.30,77,53.25,55.84,81.82,3,46
27,"ИП ""БетаТрейд-27""",9604015376,A,f,202604,13,23.08,30.77,69.23,47.37,-24.29,77,53.25,55.84,81.82,3,46
27,"ИП ""БетаТрейд-27""",9604015376,A,f,202605,15,66.67,66.67,93.33,23.08,43.59,77,53.25,55.84,81.82,3,46
27,"ИП ""БетаТрейд-27""",9604015376,A,f,202606,8,37.50,37.50,75.00,66.67,-29.17,77,53.25,55.84,81.82,3,46
27,"ИП ""БетаТрейд-27""",9604015376,A,f,202607,7,42.86,42.86,71.43,37.50,5.36,77,53.25,55.84,81.82,3,46
118,"ООО ""СтанкоСервис-118""",1910495631,A,f,202602,10,60.00,60.00,80.00,,,79,51.90,64.56,74.68,4,46
118,"ООО ""СтанкоСервис-118""",1910495631,A,f,202603,20,50.00,60.00,80.00,60.00,-10.00,79,51.90,64.56,74.68,4,46
118,"ООО ""СтанкоСервис-118""",1910495631,A,f,202604,9,77.78,88.89,88.89,50.00,27.78,79,51.90,64.56,74.68,4,46
118,"ООО ""СтанкоСервис-118""",1910495631,A,f,202605,13,46.15,69.23,69.23,77.78,-31.63,79,51.90,64.56,74.68,4,46
118,"ООО ""СтанкоСервис-118""",1910495631,A,f,202606,19,42.11,57.89,57.89,46.15,-4.04,79,51.90,64.56,74.68,4,46
118,"ООО ""СтанкоСервис-118""",1910495631,A,f,202607,8,50.00,62.50,87.50,42.11,7.89,79,51.90,64.56,74.68,4,46
65,"АО ""ГидроПром-65""",5816509712,A,f,202602,15,46.67,60.00,80.00,,,91,50.55,57.14,81.32,5,46
65,"АО ""ГидроПром-65""",5816509712,A,f,202603,13,38.46,38.46,84.62,46.67,-8.21,91,50.55,57.14,81.32,5,46
65,"АО ""ГидроПром-65""",5816509712,A,f,202604,19,52.63,57.89,78.95,38.46,14.17,91,50.55,57.14,81.32,5,46
65,"АО ""ГидроПром-65""",5816509712,A,f,202605,11,63.64,63.64,90.91,52.63,11.01,91,50.55,57.14,81.32,5,46
65,"АО ""ГидроПром-65""",5816509712,A,f,202606,12,66.67,75.00,75.00,63.64,3.03,91,50.55,57.14,81.32,5,46
65,"АО ""ГидроПром-65""",5816509712,A,f,202607,21,42.86,52.38,80.95,66.67,-23.81,91,50.55,57.14,81.32,5,46
12,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,f,202602,11,63.64,63.64,100.00,,,72,50.00,54.17,81.94,6,46
12,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,f,202603,9,44.44,44.44,88.89,63.64,-19.20,72,50.00,54.17,81.94,6,46
12,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,f,202604,24,50.00,54.17,79.17,44.44,5.56,72,50.00,54.17,81.94,6,46
12,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,f,202605,9,55.56,55.56,77.78,50.00,5.56,72,50.00,54.17,81.94,6,46
12,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,f,202606,6,66.67,66.67,83.33,55.56,11.11,72,50.00,54.17,81.94,6,46
12,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,f,202607,13,30.77,46.15,69.23,66.67,-35.90,72,50.00,54.17,81.94,6,46
51,"ИП ""ЭпсилонТех-51""",2183066432,A,f,202602,1,100.00,100.00,100.00,,,86,50.00,59.30,79.07,6,46
51,"ИП ""ЭпсилонТех-51""",2183066432,A,f,202603,9,55.56,55.56,88.89,100.00,-44.44,86,50.00,59.30,79.07,6,46
51,"ИП ""ЭпсилонТех-51""",2183066432,A,f,202604,18,50.00,61.11,77.78,55.56,-5.56,86,50.00,59.30,79.07,6,46
51,"ИП ""ЭпсилонТех-51""",2183066432,A,f,202605,14,71.43,78.57,85.71,50.00,21.43,86,50.00,59.30,79.07,6,46
51,"ИП ""ЭпсилонТех-51""",2183066432,A,f,202606,22,40.91,50.00,77.27,71.43,-30.52,86,50.00,59.30,79.07,6,46
51,"ИП ""ЭпсилонТех-51""",2183066432,A,f,202607,22,40.91,54.55,72.73,40.91,0.00,86,50.00,59.30,79.07,6,46
104,"ИП ""ГидроПром-104""",1171278872,A,f,202602,15,26.67,40.00,73.33,,,109,49.54,53.21,80.73,8,46
