item_id,item_name,category,uom_code,base_uom_code,supplier,our_wavg_price_rub,median_other_price_rub,deviation_pct,purchase_amount_rub,deviation_amount_rub,other_suppliers_cnt,has_uom_conflict
IT10368,Позиция IT10368 (Смазочные материалы),Смазочные материалы,TON,KG,"АО ""МеталлТорг-70""",21.06,0.11,19663.61,405330.89,403279.99,1,t
IT10099,Позиция IT10099 (Фильтры),Фильтры,ROLL50,M,"ООО ""СтанкоСервис-87""",789.62,4.62,16979.41,6351269.86,6314083.15,1,t
IT10442,Позиция IT10442 (Спецодежда),Спецодежда,KG,KG,"ИП ""УралДеталь-68""",27821.70,177.27,15594.53,1345179.20,1336608.19,1,t
IT10612,Позиция IT10612 (Спецодежда),Спецодежда,PACK6,PCS,"АО ""УралДеталь-93""",6486.59,43.90,14676.38,1510076.99,1499857.46,1,t
IT10221,Позиция IT10221 (Спецодежда),Спецодежда,PACK12,PCS,"ООО ""ЭпсилонТех-29""",1402.26,10.25,13587.27,1508215.66,1497196.55,1,t
IT10424,Позиция IT10424 (Насосы),Насосы,PACK6,PCS,"ООО ""ДельтаЛогистик-78""",5600.63,55.84,9929.50,4431666.83,4387480.52,1,t
IT10384,Позиция IT10384 (Спецодежда),Спецодежда,M,M,"АО ""ВолгаТех-39""",26505.79,287.46,9120.61,931413.46,921312.03,1,t
IT10248,Позиция IT10248 (Кабель),Кабель,ROLL50,M,"ООО ""ВолгаТех-43""",712.23,9.29,7564.37,651686.24,643183.44,1,t
IT10444,Позиция IT10444 (Фильтры),Фильтры,PACK24,PCS,"ООО ""ГидроПром-17""",820.39,11.36,7123.37,1541290.15,1519952.58,1,t
IT10072,Позиция IT10072 (Инструмент),Инструмент,M,M,"ПАО ""ДельтаЛогистик-7 Групп""",31289.75,477.08,6458.60,1939025.81,1909461.16,1,t
IT10780,Позиция IT10780 (РТИ),РТИ,PCS,PCS,"ИП ""ВолгаТех-64""",7795.79,119.73,6411.14,201365.26,198272.63,1,t
IT10354,Позиция IT10354 (Смазочные материалы),Смазочные материалы,M,M,"ПАО ""ЭлектроМир-57""",37605.32,581.48,6367.17,1058213.70,1041850.86,1,t
IT10262,Позиция IT10262 (Подшипники),Подшипники,PACK6,PCS,"ИП ""УралДеталь-68""",913.14,14.33,6271.47,321826.47,316775.42,1,t
IT10717,Позиция IT10717 (Крепёж),Крепёж,PACK24,PCS,"АО ""ВолгаТех-1 Групп""",1520.99,25.16,5946.18,1834317.22,1803978.78,1,t
IT10056,Позиция IT10056 (Подшипники),Подшипники,PCS,PCS,"ИП ""ПромСнаб-61""",36283.65,629.88,5660.41,7057532.76,6935014.80,1,t
