category,rank_in_category,supplier_name,inn,reliability_class,supplier_amount_rub,lines_cnt,share_pct,cum_share_pct,category_amount_rub,suppliers_in_category,suppliers_for_80pct,pct_of_suppliers_for_80pct
Инструмент,1,"ООО ""ВолгаТех-43""",6824546805,B,163788640.54,79,1.8158,1.8158,9020026111.62,120,86,71.7
Инструмент,2,"ООО ""ГидроПром-50""",5386956634,C,163371550.23,87,1.8112,3.6270,9020026111.62,120,86,71.7
Инструмент,3,"АО ""ВолгаТех-1 Групп""",7396573762,B,162953216.79,77,1.8066,5.4336,9020026111.62,120,86,71.7
Инструмент,4,"ООО ""ЭпсилонТех-29""",1164438269,A,157882763.48,74,1.7504,7.1840,9020026111.62,120,86,71.7
Инструмент,5,"АО ""ТехКомплект-8 Групп""",7408027797,C,151320776.95,76,1.6776,8.8616,9020026111.62,120,86,71.7
Инструмент,6,"ООО ""ГидроПром-15 Групп""",3556215410,C,149394173.27,80,1.6562,10.5178,9020026111.62,120,86,71.7
Инструмент,7,"ООО ""ЭлектроМир-36""",9692833459,A,127196727.78,71,1.4102,11.9280,9020026111.62,120,86,71.7
Инструмент,8,"ИП ""СтанкоСервис-119""",8333128511,A,124854387.12,53,1.3842,13.3122,9020026111.62,120,86,71.7
Инструмент,9,"ООО ""СибирьОпт-54""",8681026443,A,120079483.86,59,1.3313,14.6434,9020026111.62,120,86,71.7
Инструмент,10,"ООО ""ГаммаПром-22""",5256420704,B,106947631.77,52,1.1857,15.8291,9020026111.62,120,86,71.7
Инструмент,11,"ПАО ""Севергруз-58""",6703117816,B,106123999.92,53,1.1765,17.0056,9020026111.62,120,86,71.7
Инструмент,12,"ПАО ""ЭлектроМир-57""",7893336702,C,104135765.59,44,1.1545,18.1601,9020026111.62,120,86,71.7
Инструмент,13,"ООО ""ЭпсилонТех-60""",8376759633,B,102675069.61,44,1.1383,19.2984,9020026111.62,120,86,71.7
Инструмент,14,"АО ""ВолгаТех-66""",5944124879,A,98371395.59,45,1.0906,20.3890,9020026111.62,120,86,71.7
Инструмент,15,"ИП ""Севергруз-120""",6226202468,A,96649551.14,48,1.0715,21.4605,9020026111.62,120,86,71.7
Инструмент,16,"ИП ""АльфаСнаб-25""",4236183119,C,94972905.23,41,1.0529,22.5134,9020026111.62,120,86,71.7
Инструмент,17,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,91932767.46,43,1.0192,23.5326,9020026111.62,120,86,71.7
Инструмент,18,"ООО ""ГидроПром-17""",4885347209,B,88318458.26,50,0.9791,24.5118,9020026111.62,120,86,71.7
Инструмент,19,"ИП ""ВолгаТех-64""",3967359575,C,88228517.08,44,0.9781,25.4899,9020026111.62,120,86,71.7
Инструмент,20,"ООО ""СибирьОпт-111""",7497322282,A,87877439.31,37,0.9742,26.4642,9020026111.62,120,86,71.7
Инструмент,21,"АО ""ТехКомплект-53""",9971592644,A,87160631.86,45,0.9663,27.4305,9020026111.62,120,86,71.7
Инструмент,22,"АО ""ВолгаТех-39""",9762292597,A,86537640.46,41,0.9594,28.3899,9020026111.62,120,86,71.7
Инструмент,23,"ПАО ""Севергруз-32""",4848744976,A,85921897.84,44,0.9526,29.3424,9020026111.62,120,86,71.7
Инструмент,24,"АО ""ЭлектроМир-99""",5326315150,B,85212043.83,46,0.9447,30.2871,9020026111.62,120,86,71.7
Инструмент,25,"ИП ""ЭлектроМир-26""",3430420654,B,84901258.69,43,0.9413,31.2284,9020026111.62,120,86,71.7
Инструмент,26,"ИП ""ГаммаПром-71""",6451166226,A,84228764.26,34,0.9338,32.1622,9020026111.62,120,86,71.7
Инструмент,27,"ИП ""АльфаСнаб-73""",5550129760,C,83836268.16,38,0.9294,33.0916,9020026111.62,120,86,71.7
Инструмент,28,"ИП ""БетаТрейд-27""",9604015376,A,83618095.73,32,0.9270,34.0187,9020026111.62,120,86,71.7
Инструмент,29,"ООО ""СибирьОпт-102""",4129682292,C,83456526.34,33,0.9252,34.9439,9020026111.62,120,86,71.7
Инструмент,30,"ООО ""БетаТрейд-117""",6534526717,A,82314659.66,40,0.9126,35.8565,9020026111.62,120,86,71.7
Инструмент,31,"ИП ""ПромСнаб-30""",9330400329,A,81531183.60,45,0.9039,36.7604,9020026111.62,120,86,71.7
Инструмент,32,"ООО ""СтанкоСервис-87""",9370180664,A,81272054.89,40,0.9010,37.6614,9020026111.62,120,86,71.7
Инструмент,33,"ООО ""ПромСнаб-11 Групп""",1268657293,A,79804090.56,39,0.8847,38.5461,9020026111.62,120,86,71.7
Инструмент,34,"АО ""СтанкоСервис-34""",7614642252,A,79765720.38,36,0.8843,39.4304,9020026111.62,120,86,71.7
Инструмент,35,"АО ""ЭпсилонТех-18""",6168600289,C,79525804.69,35,0.8817,40.3121,9020026111.62,120,86,71.7
Инструмент,36,"ИП ""БетаТрейд-28""",7605742304,A,79220423.79,33,0.8783,41.1904,9020026111.62,120,86,71.7
Инструмент,37,"ИП ""СибирьОпт-80""",2616661404,C,79055130.55,53,0.8764,42.0668,9020026111.62,120,86,71.7
Инструмент,38,"ПАО ""ЭпсилонТех-79""",5889752316,B,78619312.56,35,0.8716,42.9384,9020026111.62,120,86,71.7
Инструмент,39,"ООО ""ЭлектроМир-110""",9439228389,A,78135957.98,30,0.8662,43.8047,9020026111.62,120,86,71.7
Инструмент,40,"ИП ""БетаТрейд-38""",8757438026,B,77627830.71,41,0.8606,44.6653,9020026111.62,120,86,71.7
Инструмент,41,"ООО ""ДельтаЛогистик-48""",6729556589,B,77187307.81,50,0.8557,45.5210,9020026111.62,120,86,71.7
Инструмент,42,"ИП ""ГидроПром-104""",1171278872,A,76869705.02,44,0.8522,46.3732,9020026111.62,120,86,71.7
Инструмент,43,"АО ""МеталлТорг-115""",4054258644,C,76676205.79,37,0.8501,47.2233,9020026111.62,120,86,71.7
Инструмент,44,"ИП ""СибирьОпт-103""",4736069149,B,75305660.45,37,0.8349,48.0582,9020026111.62,120,86,71.7
Инструмент,45,"ПАО ""ЭпсилонТех-16""",3879955568,A,75172884.54,40,0.8334,48.8916,9020026111.62,120,86,71.7
Инструмент,46,"АО ""ГидроПром-65""",5816509712,A,74756536.50,44,0.8288,49.7204,9020026111.62,120,86,71.7
Инструмент,47,"ПАО ""ТехКомплект-94""",5862834378,C,74694389.13,36,0.8281,50.5484,9020026111.62,120,86,71.7
Инструмент,48,"ООО ""АльфаСнаб-35""",1175213575,C,74222925.09,38,0.8229,51.3713,9020026111.62,120,86,71.7
Инструмент,49,"АО ""ЭлектроМир-101""",5660908709,B,74120722.52,36,0.8217,52.1931,9020026111.62,120,86,71.7
Инструмент,50,"ООО ""СтанкоСервис-118""",1910495631,A,74103684.66,35,0.8215,53.0146,9020026111.62,120,86,71.7
Инструмент,51,"ИП ""УралДеталь-108""",7199635800,A,74087155.66,47,0.8214,53.8360,9020026111.62,120,86,71.7
Инструмент,52,"ООО ""ТехКомплект-45""",9678016609,C,73944847.87,40,0.8198,54.6557,9020026111.62,120,86,71.7
Инструмент,53,"ООО ""БетаТрейд-90""",3281751713,A,73740703.19,35,0.8175,55.4733,9020026111.62,120,86,71.7
Инструмент,54,"АО ""ПромСнаб-62""",6943791863,C,73603834.93,36,0.8160,56.2893,9020026111.62,120,86,71.7
Инструмент,55,"ИП ""ТехКомплект-37""",6425784015,A,73427782.57,39,0.8141,57.1033,9020026111.62,120,86,71.7
Инструмент,56,"АО ""МеталлТорг-3 Групп""",9676820827,B,73000010.56,40,0.8093,57.9126,9020026111.62,120,86,71.7
Инструмент,57,"ООО ""Севергруз-59""",2876376128,B,72927507.20,32,0.8085,58.7211,9020026111.62,120,86,71.7
Инструмент,58,"ИП ""Севергруз-23""",7661401524,A,72507509.80,36,0.8039,59.5250,9020026111.62,120,86,71.7
Инструмент,59,"ИП ""Севергруз-5 Групп""",9354187804,A,71985162.36,34,0.7981,60.3231,9020026111.62,120,86,71.7
Инструмент,60,"ИП ""СибирьОпт-41""",6345050694,C,70466750.66,34,0.7812,61.1043,9020026111.62,120,86,71.7
Инструмент,61,"ООО ""ДельтаЛогистик-78""",8663952810,C,70348608.70,43,0.7799,61.8842,9020026111.62,120,86,71.7
Инструмент,62,"ПАО ""ЭлектроМир-95""",4893091195,B,70172794.06,33,0.7780,62.6622,9020026111.62,120,86,71.7
Инструмент,63,"ИП ""ДельтаЛогистик-84""",1328957857,B,69890887.68,35,0.7748,63.4370,9020026111.62,120,86,71.7
Инструмент,64,"ПАО ""БетаТрейд-107""",5096320205,A,69887655.78,38,0.7748,64.2118,9020026111.62,120,86,71.7
Инструмент,65,"АО ""ЭпсилонТех-81""",9318288828,B,69629958.20,37,0.7719,64.9838,9020026111.62,120,86,71.7
Инструмент,66,"АО ""ГидроПром-44""",6939000485,C,69244074.95,36,0.7677,65.7514,9020026111.62,120,86,71.7
Инструмент,67,"ИП ""АльфаСнаб-19""",6251468548,C,68789458.21,39,0.7626,66.5141,9020026111.62,120,86,71.7
Инструмент,68,"ИП ""ПромСнаб-61""",2248071481,C,68592495.46,31,0.7604,67.2745,9020026111.62,120,86,71.7
Инструмент,69,"ПАО ""ЭпсилонТех-2 Групп""",1333205446,A,68428527.09,39,0.7586,68.0331,9020026111.62,120,86,71.7
Инструмент,70,"АО ""СтанкоСервис-49""",4544937676,C,67859179.65,31,0.7523,68.7854,9020026111.62,120,86,71.7
Инструмент,71,"ПАО ""СтанкоСервис-98""",5150285741,C,66856442.09,33,0.7412,69.5266,9020026111.62,120,86,71.7
Инструмент,72,"ООО ""Севергруз-20""",9756965410,B,66638916.47,39,0.7388,70.2654,9020026111.62,120,86,71.7
Инструмент,73,"АО ""УралДеталь-93""",8269858197,A,65980284.81,34,0.7315,70.9969,9020026111.62,120,86,71.7
Инструмент,74,"АО ""ЭлектроМир-47""",4315494031,C,65320263.82,41,0.7242,71.7211,9020026111.62,120,86,71.7
Инструмент,75,"ООО ""УралДеталь-42""",4305019545,B,64525988.55,28,0.7154,72.4365,9020026111.62,120,86,71.7
Инструмент,76,"ПАО ""СибирьОпт-24""",6203036487,B,64481065.01,31,0.7149,73.1513,9020026111.62,120,86,71.7
Инструмент,77,"ИП ""Севергруз-88""",2941331441,C,63940998.99,28,0.7089,73.8602,9020026111.62,120,86,71.7
Инструмент,78,"ИП ""УралДеталь-68""",6899330264,C,63785745.19,30,0.7072,74.5674,9020026111.62,120,86,71.7
Инструмент,79,"ПАО ""Севергруз-69""",5108515536,B,63687805.26,34,0.7061,75.2734,9020026111.62,120,86,71.7
Инструмент,80,"ИП ""ЭпсилонТех-51""",2183066432,A,63636446.05,43,0.7055,75.9789,9020026111.62,120,86,71.7
Инструмент,81,"ПАО ""ГаммаПром-21""",5510509420,A,63576610.57,33,0.7048,76.6838,9020026111.62,120,86,71.7
Инструмент,82,"АО ""АльфаСнаб-105""",4695450688,B,62888780.85,35,0.6972,77.3810,9020026111.62,120,86,71.7
Инструмент,83,"ИП ""СтанкоСервис-114""",6505846279,C,62627341.54,33,0.6943,78.0753,9020026111.62,120,86,71.7
Инструмент,84,"ИП ""ТехКомплект-91""",3871944604,C,62510904.25,34,0.6930,78.7683,9020026111.62,120,86,71.7
Инструмент,85,"ПАО ""УралДеталь-112""",9583012527,A,62495452.94,30,0.6929,79.4612,9020026111.62,120,86,71.7
Инструмент,86,"ИП ""ЭлектроМир-77""",3342574841,B,62342951.85,33,0.6912,80.1523,9020026111.62,120,86,71.7
Инструмент,87,"ПАО ""ЭпсилонТех-31""",3498810138,C,61735260.31,26,0.6844,80.8368,9020026111.62,120,86,71.7
Инструмент,88,"ПАО ""ЭлектроМир-83""",9385317786,C,61524315.49,28,0.6821,81.5188,9020026111.62,120,86,71.7
Инструмент,89,"АО ""МеталлТорг-70""",2177052301,A,60965764.35,29,0.6759,82.1947,9020026111.62,120,86,71.7
Инструмент,90,"ООО ""ПромСнаб-85""",1381538527,B,60834272.67,40,0.6744,82.8692,9020026111.62,120,86,71.7
Инструмент,91,"ИП ""УралДеталь-40""",6947562940,A,59728634.78,35,0.6622,83.5314,9020026111.62,120,86,71.7
Инструмент,92,"ПАО ""ГидроПром-82""",5486176086,C,59361119.14,40,0.6581,84.1895,9020026111.62,120,86,71.7
Инструмент,93,"ПАО ""АльфаСнаб-89""",2477900690,B,58192732.66,37,0.6452,84.8346,9020026111.62,120,86,71.7
Инструмент,94,"АО ""УралДеталь-6 Групп""",8563157612,C,57806172.24,31,0.6409,85.4755,9020026111.62,120,86,71.7
Инструмент,95,"АО ""ВолгаТех-46""",3203403245,C,57328973.38,27,0.6356,86.1110,9020026111.62,120,86,71.7
Инструмент,96,"ПАО ""ГидроПром-10 Групп""",4025236040,A,57049119.47,31,0.6325,86.7435,9020026111.62,120,86,71.7
Инструмент,97,"ПАО ""ЭпсилонТех-72""",1649173005,A,56718376.69,32,0.6288,87.3723,9020026111.62,120,86,71.7
Инструмент,98,"ИП ""ЭпсилонТех-14 Групп""",7761929248,B,56609945.81,32,0.6276,87.9999,9020026111.62,120,86,71.7
Инструмент,99,"АО ""ВолгаТех-86""",1944444455,C,56506612.94,26,0.6265,88.6264,9020026111.62,120,86,71.7
Инструмент,100,"ПАО ""ВолгаТех-56""",8238363683,C,56191730.30,35,0.6230,89.2493,9020026111.62,120,86,71.7
Инструмент,101,"ПАО ""СтанкоСервис-113""",9062991254,C,54991010.55,34,0.6097,89.8590,9020026111.62,120,86,71.7
Инструмент,102,"АО ""ЭпсилонТех-55""",8870912118,B,54168835.13,34,0.6005,90.4595,9020026111.62,120,86,71.7
Инструмент,103,"ООО ""ВолгаТех-97""",3478634414,A,53536458.31,29,0.5935,91.0531,9020026111.62,120,86,71.7
Инструмент,104,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,53025811.19,35,0.5879,91.6409,9020026111.62,120,86,71.7
Инструмент,105,"ИП ""УралДеталь-67""",3838939447,B,52516817.77,29,0.5822,92.2232,9020026111.62,120,86,71.7
Инструмент,106,"ПАО ""СибирьОпт-109""",1575720309,B,52170267.72,32,0.5784,92.8015,9020026111.62,120,86,71.7
Инструмент,107,"ПАО ""ГаммаПром-13 Групп""",7679741117,A,51562141.82,31,0.5716,93.3732,9020026111.62,120,86,71.7
Инструмент,108,"ООО ""СибирьОпт-96""",3940742148,A,50060495.18,35,0.5550,93.9282,9020026111.62,120,86,71.7
Инструмент,109,"ООО ""ЭлектроМир-74""",3183881606,B,49050929.11,27,0.5438,94.4720,9020026111.62,120,86,71.7
Инструмент,110,"АО ""ГаммаПром-33""",9026027108,C,49018614.18,32,0.5434,95.0154,9020026111.62,120,86,71.7
Инструмент,111,"ПАО ""ГаммаПром-4 Групп""",1026220989,B,48207948.29,22,0.5345,95.5499,9020026111.62,120,86,71.7
Инструмент,112,"ООО ""МеталлТорг-92""",4707533344,A,47287304.83,27,0.5242,96.0741,9020026111.62,120,86,71.7
Инструмент,113,"ИП ""ПромСнаб-75""",6209425602,C,46662769.66,25,0.5173,96.5914,9020026111.62,120,86,71.7
Инструмент,114,"ПАО ""СибирьОпт-63""",5200040610,B,46484294.97,32,0.5153,97.1068,9020026111.62,120,86,71.7
