rate_date;currency;rate_to_rub
2024-01-01;USD;91.7918
2024-01-01;CNY;12.6967
2024-01-02;USD;91.4768
2024-01-02;CNY;12.7444
2024-01-03;USD;91.7812
2024-01-03;CNY;12.7789
2024-01-04;USD;92.1919
2024-01-04;CNY;12.6877
2024-01-05;USD;92.9709
2024-01-05;CNY;12.8148
2024-01-08;USD;93.5682
2024-01-08;CNY;12.749
2024-01-09;USD;93.5423
2024-01-09;CNY;12.8182
2024-01-10;USD;93.4376
2024-01-10;CNY;12.7552
2024-01-11;USD;93.2973
2024-01-11;CNY;12.7019
2024-01-12;USD;94.2465
2024-01-12;CNY;12.6772
2024-01-15;USD;93.0586
2024-01-15;CNY;12.6968
2024-01-16;USD;93.0347
2024-01-16;CNY;12.7064
2024-01-17;USD;92.591
2024-01-17;CNY;12.6323
2024-01-18;USD;92.3546
2024-01-18;CNY;12.5754
2024-01-19;USD;91.9674
2024-01-19;CNY;12.4624
2024-01-22;USD;91.786
2024-01-22;CNY;12.3457
2024-01-23;USD;91.3072
2024-01-23;CNY;12.3237
2024-01-24;USD;91.5489
2024-01-24;CNY;12.2321
2024-01-25;USD;91.7268
2024-01-25;CNY;12.3411
2024-01-26;USD;91.4685
2024-01-26;CNY;12.4326
2024-01-29;USD;91.888
2024-01-29;CNY;12.5363
2024-01-30;USD;91.4659
2024-01-30;CNY;12.6422
2024-01-31;USD;91.7405
2024-01-31;CNY;12.6417
2024-02-01;USD;91.2093
2024-02-01;CNY;12.7445
2024-02-02;USD;91.8886
2024-02-02;CNY;12.6855
2024-02-05;USD;91.3848
2024-02-05;CNY;12.6709
2024-02-06;USD;92.3287
2024-02-06;CNY;12.737
2024-02-07;USD;92.8986
2024-02-07;CNY;12.6939
2024-02-08;USD;93.6008
2024-02-08;CNY;12.711
2024-02-09;USD;93.845
2024-02-09;CNY;12.6908
2024-02-12;USD;93.4807
2024-02-12;CNY;12.7216
2024-02-13;USD;92.7815
2024-02-13;CNY;12.6777
2024-02-14;USD;92.0919
2024-02-14;CNY;12.6123
2024-02-15;USD;92.8613
2024-02-15;CNY;12.6239
2024-02-16;USD;92.3687
2024-02-16;CNY;12.6077
2024-02-19;USD;92.3355
2024-02-19;CNY;12.7107
2024-02-20;USD;92.5529
2024-02-20;CNY;12.6765
2024-02-21;USD;92.1998
2024-02-21;CNY;12.8053
2024-02-22;USD;92.7932
2024-02-22;CNY;12.8647
2024-02-23;USD;92.4036
2024-02-23;CNY;12.9451
2024-02-26;USD;92.222
2024-02-26;CNY;13.2688
2024-02-27;USD;91.9719
2024-02-27;CNY;13.3891
2024-02-28;USD;92.7113
2024-02-28;CNY;13.3043
2024-02-29;USD;92.689
2024-02-29;CNY;13.3123
2024-03-01;USD;92.5724
2024-03-01;CNY;13.2884
2024-03-04;USD;91.8286
2024-03-04;CNY;13.4446
2024-03-05;USD;91.1899
2024-03-05;CNY;13.3451
2024-03-06;USD;90.669
2024-03-06;CNY;13.368
2024-03-07;USD;90.0339
2024-03-07;CNY;13.3299
2024-03-08;USD;90.2028
2024-03-08;CNY;13.3215
2024-03-11;USD;90.3814
2024-03-11;CNY;13.2807
2024-03-12;USD;90.3453
2024-03-12;CNY;13.1763
2024-03-13;USD;90.3707
2024-03-13;CNY;13.2442
2024-03-14;USD;90.0096
2024-03-14;CNY;13.3512
2024-03-15;USD;90.7542
2024-03-15;CNY;13.2827
2024-03-18;USD;88.6484
2024-03-18;CNY;13.2543
2024-03-19;USD;87.7754
2024-03-19;CNY;13.1469
2024-03-20;USD;87.9048
2024-03-20;CNY;13.1084
2024-03-21;USD;87.7862
2024-03-21;CNY;13.2044
2024-03-22;USD;86.8899
2024-03-22;CNY;13.1985
2024-03-25;USD;88.3594
2024-03-25;CNY;13.2259
2024-03-26;USD;88.5525
2024-03-26;CNY;13.2061
2024-03-27;USD;87.9059
2024-03-27;CNY;13.1919
2024-03-28;USD;87.4634
2024-03-28;CNY;13.1678
2024-03-29;USD;88.059
2024-03-29;CNY;13.2586
2024-04-01;USD;87.0374
2024-04-01;CNY;13.3236
2024-04-02;USD;86.805
2024-04-02;CNY;13.2288
2024-04-03;USD;86.6461
2024-04-03;CNY;13.2505
2024-04-04;USD;85.7583
2024-04-04;CNY;13.2355
2024-04-05;USD;86.6154
2024-04-05;CNY;13.2179
2024-04-08;USD;86.7281
2024-04-08;CNY;13.1809
2024-04-09;USD;87.3272
2024-04-09;CNY;13.2339
2024-04-10;USD;88.1688
2024-04-10;CNY;13.1993
2024-04-11;USD;87.4625
2024-04-11;CNY;13.1667
2024-04-12;USD;87.0906
2024-04-12;CNY;13.1203
2024-04-15;USD;85.9364
2024-04-15;CNY;13.0681
2024-04-16;USD;85.1214
2024-04-16;CNY;13.1271
2024-04-17;USD;84.9184
2024-04-17;CNY;13.2386
2024-04-18;USD;85.7415
2024-04-18;CNY;13.2973
2024-04-19;USD;85.965
2024-04-19;CNY;13.2213
2024-04-22;USD;86.0589
2024-04-22;CNY;13.3621
2024-04-23;USD;85.4937
2024-04-23;CNY;13.2752
2024-04-24;USD;85.649
2024-04-24;CNY;13.2946
2024-04-25;USD;85.0471
2024-04-25;CNY;13.2837
2024-04-26;USD;85.0435
2024-04-26;CNY;13.3304
2024-04-29;USD;87.1138
2024-04-29;CNY;13.3027
2024-04-30;USD;87.4476
2024-04-30;CNY;13.2834
2024-05-01;USD;87.2265
2024-05-01;CNY;13.2842
2024-05-02;USD;87.2071
2024-05-02;CNY;13.2975
2024-05-03;USD;87.5479
2024-05-03;CNY;13.2083
2024-05-06;USD;87.4313
2024-05-06;CNY;13.1341
2024-05-07;USD;87.977
2024-05-07;CNY;13.1481
2024-05-08;USD;88.3391
2024-05-08;CNY;13.2612
2024-05-09;USD;88.5531
2024-05-09;CNY;13.3824
2024-05-10;USD;89.3985
2024-05-10;CNY;13.3513
2024-05-13;USD;90.0949
2024-05-13;CNY;13.0768
2024-05-14;USD;89.7845
2024-05-14;CNY;13.0272
2024-05-15;USD;89.5031
2024-05-15;CNY;13.0586
2024-05-16;USD;89.3199
2024-05-16;CNY;12.9632
2024-05-17;USD;89.3458
2024-05-17;CNY;12.9026
2024-05-20;USD;89.0452
2024-05-20;CNY;12.8836
2024-05-21;USD;89.5141
2024-05-21;CNY;12.9063
2024-05-22;USD;89.3379
2024-05-22;CNY;12.8457
2024-05-23;USD;89.4895
2024-05-23;CNY;12.9571
2024-05-24;USD;89.9043
2024-05-24;CNY;12.9734
2024-05-27;USD;89.9713
2024-05-27;CNY;12.8547
2024-05-28;USD;89.6793
2024-05-28;CNY;12.7754
2024-05-29;USD;89.2777
2024-05-29;CNY;12.8272
2024-05-30;USD;89.588
