item_id;item_name;category;category_reported;uom_code
IT10000;Позиция IT10000 (Подшипники);Подшипники;Подшипники;TON
IT10001;Позиция IT10001 (Инструмент);Инструмент;Инструмент;PCS
IT10002;Позиция IT10002 (Фильтры);Фильтры;Фильтры;ROLL50
IT10003;Позиция IT10003 (РТИ);РТИ;РТИ;PACK24
IT10004;Позиция IT10004 (Крепёж);Крепёж;Крепёж;TON
IT10005;Позиция IT10005 (Кабель);Кабель;Кабель;TON
IT10006;Позиция IT10006 (Смазочные материалы);Смазочные материалы;Смазочные материалы;KG
IT10007;Позиция IT10007 (Крепёж);Крепёж;Крепёж;PACK24
IT10008;Позиция IT10008 (Подшипники);Подшипники;Подшипники;ROLL50
IT10009;Позиция IT10009 (Кабель);Кабель;Кабель;ROLL50
IT10010;Позиция IT10010 (Подшипники);Подшипники;Подшипники;PACK24
IT10011;Позиция IT10011 (Кабель);Кабель;Кабель;PACK24
IT10012;Позиция IT10012 (Инструмент);Инструмент;Инструмент;PCS
IT10013;Позиция IT10013 (Инструмент);Инструмент;РТИ;M
IT10014;Позиция IT10014 (Смазочные материалы);Смазочные материалы;Смазочные материалы;TON
IT10015;Позиция IT10015 (Фильтры);Фильтры;Фильтры;ROLL50
IT10016;Позиция IT10016 (Подшипники);Подшипники;Подшипники;KG
IT10017;Позиция IT10017 (Инструмент);Инструмент;Инструмент;KG
IT10018;Позиция IT10018 (Смазочные материалы);Смазочные материалы;Смазочные материалы;M
IT10019;Позиция IT10019 (Кабель);Кабель;Кабель;PCS
IT10020;Позиция IT10020 (Насосы);Насосы;Насосы;KG
IT10021;Позиция IT10021 (Кабель);Кабель;Кабель;PACK12
IT10022;Позиция IT10022 (Крепёж);Крепёж;Крепёж;KG
IT10023;Позиция IT10023 (Инструмент);Инструмент;Инструмент;KG
IT10024;Позиция IT10024 (Электрика);Электрика;Электрика;PACK12
IT10025;Позиция IT10025 (Фильтры);Фильтры;Фильтры;KG
IT10026;Позиция IT10026 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK12
IT10027;Позиция IT10027 (Насосы);Насосы;Насосы;TON
IT10028;Позиция IT10028 (Крепёж);Крепёж;Крепёж;PCS
IT10029;Позиция IT10029 (РТИ);РТИ;РТИ;KG
IT10030;Позиция IT10030 (Спецодежда);Спецодежда;Насосы;KG
IT10031;Позиция IT10031 (Спецодежда);Спецодежда;Фильтры;PACK6
IT10032;Позиция IT10032 (Фильтры);Фильтры;Фильтры;ROLL50
IT10033;Позиция IT10033 (Фильтры);Фильтры;Фильтры;ROLL50
IT10034;Позиция IT10034 (Смазочные материалы);Смазочные материалы;Смазочные материалы;M
IT10035;Позиция IT10035 (Инструмент);Инструмент;Инструмент;PACK12
IT10036;Позиция IT10036 (Фильтры);Фильтры;Фильтры;ROLL50
IT10037;Позиция IT10037 (Крепёж);Крепёж;Крепёж;M
IT10039;Позиция IT10039 (Подшипники);Подшипники;Подшипники;M
IT10040;Позиция IT10040 (Кабель);Кабель;Кабель;PACK12
IT10042;Позиция IT10042 (Крепёж);Крепёж;Крепёж;KG
IT10043;Позиция IT10043 (Смазочные материалы);Смазочные материалы;Смазочные материалы;TON
IT10044;Позиция IT10044 (Фильтры);Фильтры;Фильтры;PCS
IT10045;Позиция IT10045 (Инструмент);Инструмент;Инструмент;PACK6
IT10046;Позиция IT10046 (Крепёж);Крепёж;Крепёж;PACK12
IT10048;Позиция IT10048 (Крепёж);Крепёж;Крепёж;TON
IT10049;Позиция IT10049 (Кабель);Кабель;Кабель;TON
IT10050;Позиция IT10050 (Инструмент);Инструмент;Инструмент;PACK24
IT10051;Позиция IT10051 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK12
IT10052;Позиция IT10052 (Инструмент);Инструмент;Инструмент;PACK24
IT10053;Позиция IT10053 (Смазочные материалы);Смазочные материалы;Смазочные материалы;M
IT10054;Позиция IT10054 (Электрика);Электрика;Электрика;TON
IT10056;Позиция IT10056 (Подшипники);Подшипники;Подшипники;PACK24
IT10057;Позиция IT10057 (Инструмент);Инструмент;Инструмент;PACK12
IT10058;Позиция IT10058 (Спецодежда);Спецодежда;Спецодежда;KG
IT10059;Позиция IT10059 (Насосы);Насосы;Насосы;PCS
IT10060;Позиция IT10060 (Подшипники);Подшипники;Подшипники;M
IT10061;Позиция IT10061 (Электрика);Электрика;Электрика;PACK24
IT10062;Позиция IT10062 (Подшипники);Подшипники;Подшипники;PACK24
IT10064;Позиция IT10064 (РТИ);РТИ;РТИ;KG
IT10065;Позиция IT10065 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10066;Позиция IT10066 (Инструмент);Инструмент;Инструмент;PCS
IT10067;Позиция IT10067 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10068;Позиция IT10068 (Инструмент);Инструмент;Инструмент;TON
IT10069;Позиция IT10069 (Подшипники);Подшипники;Подшипники;TON
IT10070;Позиция IT10070 (Крепёж);Крепёж;Крепёж;PACK24
IT10071;Позиция IT10071 (РТИ);РТИ;РТИ;PCS
IT10072;Позиция IT10072 (Инструмент);Инструмент;Инструмент;KG
IT10074;Позиция IT10074 (Подшипники);Подшипники;Подшипники;PCS
IT10075;Позиция IT10075 (Кабель);Кабель;Кабель;PACK12
IT10076;Позиция IT10076 (Насосы);Насосы;Насосы;PCS
IT10077;Позиция IT10077 (Подшипники);Подшипники;Подшипники;KG
IT10078;Позиция IT10078 (Кабель);Кабель;Кабель;PACK12
IT10079;Позиция IT10079 (Фильтры);Фильтры;Фильтры;ROLL50
IT10080;Позиция IT10080 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10081;Позиция IT10081 (Электрика);Электрика;Электрика;M
IT10082;Позиция IT10082 (Кабель);Кабель;Кабель;KG
IT10083;Позиция IT10083 (Электрика);Электрика;Электрика;PACK24
IT10084;Позиция IT10084 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10085;Позиция IT10085 (Насосы);Насосы;Насосы;ROLL50
IT10086;Позиция IT10086 (Электрика);Электрика;Электрика;TON
IT10087;Позиция IT10087 (РТИ);РТИ;РТИ;PACK12
IT10088;Позиция IT10088 (РТИ);РТИ;РТИ;PACK6
IT10089;Позиция IT10089 (Электрика);Электрика;Электрика;KG
IT10090;Позиция IT10090 (Спецодежда);Спецодежда;Спецодежда;PACK24
IT10091;Позиция IT10091 (РТИ);РТИ;Фильтры;PACK12
IT10092;Позиция IT10092 (Подшипники);Подшипники;Подшипники;TON
IT10093;Позиция IT10093 (РТИ);РТИ;РТИ;PACK6
IT10094;Позиция IT10094 (РТИ);РТИ;РТИ;M
IT10095;Позиция IT10095 (РТИ);РТИ;РТИ;PACK24
IT10096;Позиция IT10096 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10097;Позиция IT10097 (Фильтры);Фильтры;Фильтры;PACK12
IT10098;Позиция IT10098 (Кабель);Кабель;Кабель;PACK6
IT10099;Позиция IT10099 (Фильтры);Фильтры;Фильтры;M
IT10100;Позиция IT10100 (Инструмент);Инструмент;Инструмент;PCS
IT10101;Позиция IT10101 (Кабель);Кабель;Кабель;TON
IT10102;Позиция IT10102 (Подшипники);Подшипники;Подшипники;KG
IT10103;Позиция IT10103 (Инструмент);Инструмент;Инструмент;M
IT10104;Позиция IT10104 (Инструмент);Инструмент;Инструмент;KG
IT10105;Позиция IT10105 (Электрика);Электрика;Электрика;TON
IT10106;Позиция IT10106 (Кабель);Кабель;Кабель;TON
IT10107;Позиция IT10107 (Крепёж);Крепёж;Крепёж;PACK12
IT10108;Позиция IT10108 (Кабель);Кабель;Кабель;TON
IT10109;Позиция IT10109 (Подшипники);Подшипники;Подшипники;PACK12
IT10110;Позиция IT10110 (Подшипники);Подшипники;Подшипники;TON
IT10111;Позиция IT10111 (Кабель);Кабель;Кабель;PACK6
IT10112;Позиция IT10112 (РТИ);РТИ;РТИ;PACK24
IT10113;Позиция IT10113 (Фильтры);Фильтры;Фильтры;TON
IT10114;Позиция IT10114 (Инструмент);Инструмент;Инструмент;KG
IT10115;Позиция IT10115 (Спецодежда);Спецодежда;Спецодежда;TON
IT10116;Позиция IT10116 (Инструмент);Инструмент;Инструмент;KG
IT10117;Позиция IT10117 (РТИ);РТИ;РТИ;M
IT10118;Позиция IT10118 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10119;Позиция IT10119 (Фильтры);Фильтры;Фильтры;PACK6
IT10120;Позиция IT10120 (Фильтры);Фильтры;Фильтры;ROLL50
IT10121;Позиция IT10121 (Крепёж);Крепёж;Крепёж;PACK6
IT10122;Позиция IT10122 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10123;Позиция IT10123 (Крепёж);Крепёж;Крепёж;PACK24
IT10124;Позиция IT10124 (Фильтры);Фильтры;Фильтры;PCS
IT10125;Позиция IT10125 (Фильтры);Фильтры;Фильтры;TON
IT10126;Позиция IT10126 (Подшипники);Подшипники;Подшипники;M
IT10127;Позиция IT10127 (Фильтры);Фильтры;Фильтры;ROLL50
IT10128;Позиция IT10128 (РТИ);РТИ;РТИ;TON
