order_id;supplier_id;order_dttm_msk;currency;delivery_city;order_type
PO500001;S1105;2024-01-01 10:37:00;RUB;Уфа;Аварийная
PO500002;S1064;2024-01-01 08:37:00;RUB;Москва;Срочная
PO500003;S1020;2024-01-01 16:00:00;RUB;Пермь;Аварийная
PO500004;S1099;2024-01-01 18:10:00;RUB;Москва;Аварийная
PO500005;S1120;2024-01-01 15:28:00;RUB;Новосибирск;Срочная
PO500006;S1053;2024-01-01 09:51:00;RUB;Ростов;Срочная
PO500007;S1072;2024-01-01 19:45:00;RUB;Казань;Срочная
PO500008;S1025;2024-01-01 14:57:00;RUB;Уфа;Срочная
PO500009;S1051;2024-01-01 18:03:00;RUB;Москва;Плановая
PO500010;S1042;2024-01-01 08:19:00;RUB;Тюмень;Срочная
PO500011;S1124;2024-01-01 15:20:00;RUB;Самара;Аварийная
PO500012;S1053;2024-01-01 11:14:00;RUB;Тюмень;Плановая
PO500013;S1105;2024-01-01 18:17:00;RUB;СПб;Аварийная
PO500014;S1039;2024-01-01 12:43:00;RUB;Ростов;Аварийная
PO500015;S1076;2024-01-01 12:36:00;USD;Ростов;Аварийная
PO500016;S1050;2024-01-01 12:28:00;RUB;Пермь;Плановая
PO500017;S1032;2024-01-01 11:42:00;RUB;Уфа;Срочная
PO500018;S1026;2024-01-01 11:09:00;RUB;Уфа;Аварийная
PO500019;S1118;2024-01-01 09:38:00;RUB;Новосибирск;Аварийная
PO500020;S1001;2024-01-01 15:07:00;RUB;Новосибирск;Срочная
PO500021;S1081;2024-01-01 16:47:00;RUB;Уфа;Срочная
PO500022;S1124;2024-01-01 15:42:00;RUB;Омск;Аварийная
PO500023;S1037;2024-01-01 10:43:00;RUB;Екатеринбург;Срочная
PO500024;S1017;2024-01-01 18:45:00;RUB;Уфа;Плановая
PO500025;S1048;2024-01-01 10:19:00;RUB;Самара;Аварийная
PO500026;S1011;2024-01-01 11:32:00;RUB;Ростов;Срочная
PO500027;S1109;2024-01-01 10:41:00;RUB;Уфа;Срочная
PO500028;S1003;2024-01-01 13:17:00;RUB;Казань;Аварийная
PO500029;S1062;2024-01-01 15:49:00;RUB;Омск;Срочная
PO500030;S1013;2024-01-01 14:46:00;RUB;Челябинск;Срочная
PO500031;S1078;2024-01-01 14:42:00;RUB;Уфа;Срочная
PO500032;S1048;2024-01-01 13:03:00;RUB;Новосибирск;Аварийная
PO500033;S1028;2024-01-01 09:54:00;RUB;Новосибирск;Плановая
PO500034;S1029;2024-01-02 18:00:00;RUB;Москва;Срочная
PO500035;S1093;2024-01-02 12:58:00;RUB;Уфа;Срочная
PO500036;S1034;2024-01-02 09:51:00;RUB;Челябинск;Аварийная
PO500037;S1063;2024-01-02 16:08:00;RUB;Челябинск;Аварийная
PO500038;S1046;2024-01-02 10:02:00;RUB;Уфа;Аварийная
PO500039;S1011;2024-01-02 12:08:00;RUB;Пермь;Плановая
PO500040;S1103;2024-01-02 12:07:00;USD;СПб;Аварийная
