receipt_id;order_id;line_no;received_at_utc;qty_received;quality_status;warehouse_code
R900001;PO500001;1;2024-01-02T09:12:00Z;143.6;accepted;WH-05
R900002;PO500001;2;2024-01-31T14:21:00Z;57.45;accepted;WH-05
R900003;PO500001;2;2024-01-30T16:31:00Z;60.69;accepted;WH-02
R900004;PO500001;4;2024-01-29T20:32:00Z;196.2;accepted;WH-04
R900005;PO500002;1;2024-01-03T23:32:00Z;111.3;accepted;WH-02
R900006;PO500002;2;2024-02-03T14:56:00Z;84.07;partially_rejected;WH-04
R900007;PO500002;2;2024-02-04T21:50:00Z;94.6;accepted;WH-02
R900008;PO500004;2;2024-02-06T06:40:00Z;197.34;accepted;WH-05
R900009;PO500005;1;2024-01-28T18:16:00Z;10.42;accepted;WH-05
R900010;PO500005;1;2024-01-25T00:08:00Z;9.03;accepted;WH-05
R900011;PO500005;2;2024-01-22T12:43:00Z;64.26;accepted;WH-03
R900012;PO500005;2;2024-01-21T09:48:00Z;35.87;accepted;WH-05
R900013;PO500005;3;2024-01-22T23:44:00Z;110.26;accepted;WH-05
R900014;PO500006;1;2024-01-24T11:05:00Z;91.89;accepted;WH-02
R900015;PO500006;2;2024-01-07T10:02:00Z;5.48;accepted;WH-03
R900016;PO500007;1;2024-01-16T01:13:00Z;157.51;accepted;WH-02
R900017;PO500007;2;2024-01-19T20:53:00Z;47.85;accepted;WH-05
R900018;PO500007;3;2023-12-31T13:13:00Z;33.82;accepted;WH-01
R900019;PO500007;4;2024-01-29T05:04:00Z;81.29;accepted;WH-04
R900020;PO500007;5;2024-01-12T23:37:00Z;48.29;accepted;WH-04
R900021;PO500007;5;2024-01-24T01:39:00Z;96.46;accepted;WH-05
R900022;PO500010;1;2024-01-11T16:33:00Z;166.76;accepted;WH-01
R900023;PO500010;2;2024-02-12T10:02:00Z;164.91;accepted;WH-05
R900024;PO500010;3;2024-01-31T18:41:00Z;134.11;accepted;WH-01
R900025;PO500010;4;2024-02-19T21:17:00Z;191.01;accepted;WH-01
R900026;PO500011;1;2024-01-29T18:00:00Z;35.35;accepted;WH-03
R900027;PO500011;1;2024-01-20T14:08:00Z;8.01;accepted;WH-04
R900028;PO500011;1;2024-01-17T15:05:00Z;16.48;rejected;WH-01
R900029;PO500013;1;2024-02-17T14:41:00Z;11.5;accepted;WH-05
R900030;PO500014;1;2024-02-12T19:11:00Z;89.33;accepted;WH-04
R900031;PO500014;2;2024-01-22T02:00:00Z;88.01;accepted;WH-04
R900032;PO500015;1;2024-01-20T16:38:00Z;148.05;accepted;WH-03
R900033;PO500015;2;2024-02-25T04:30:00Z;76.05;accepted;WH-04
R900034;PO500015;3;2024-01-06T14:38:00Z;196.28;accepted;WH-03
R900035;PO500016;1;2024-02-03T21:30:00Z;53.7;accepted;WH-01
R900036;PO500016;1;2024-02-02T20:23:00Z;97.82;accepted;WH-02
R900037;PO500016;2;2024-02-04T06:33:00Z;106.51;accepted;WH-04
R900038;PO500016;3;2024-02-05T07:26:00Z;136.89;accepted;WH-04
R900039;PO500016;4;2024-01-06T22:59:00Z;73.55;accepted;WH-05
R900040;PO500016;5;2024-02-07T02:16:00Z;67.12;accepted;WH-03
R900041;PO500016;5;2024-02-13T02:47:00Z;59.06;accepted;WH-05
R900042;PO500016;5;2024-02-08T23:17:00Z;26.59;accepted;WH-04
R900043;PO500019;1;2024-01-28T12:59:00Z;153.72;accepted;WH-01
R900044;PO500019;2;2024-02-03T02:37:00Z;14.02;accepted;WH-04
R900045;PO500019;3;2024-01-22T16:59:00Z;87.84;accepted;WH-05
R900046;PO500020;1;2024-01-15T12:27:00Z;46.81;accepted;WH-01
