supplier_id;inn;supplier_name;region;reliability_class;valid_from;valid_to;is_current
S1001;7396573762;"АО ""ВолгаТех-1""";Ростов-на-Дону;B;2024-01-01;2025-06-27;0
S1001;7396573762;"АО ""ВолгаТех-1 Групп""";Ростов-на-Дону;B;2025-06-28;9999-12-31;1
S1002;1333205446;"ООО ""ЭпсилонТех-2""";Екатеринбург;B;2024-01-01;2025-04-25;0
S1002;1333205446;"ПАО ""ЭпсилонТех-2 Групп""";Екатеринбург;A;2025-04-26;9999-12-31;1
S1003;9676820827;"ПАО ""МеталлТорг-3""";Санкт-Петербург;C;2024-01-01;2025-02-17;0
S1003;9676820827;"АО ""МеталлТорг-3 Групп""";Санкт-Петербург;B;2025-02-18;9999-12-31;1
S1004;1026220989;"ПАО ""ГаммаПром-4""";Казань;C;2024-01-01;2025-04-20;0
S1004;1026220989;"ПАО ""ГаммаПром-4 Групп""";Казань;B;2025-04-21;9999-12-31;1
S1005;9354187804;"ПАО ""Севергруз-5""";Красноярск;A;2024-01-01;2025-05-28;0
S1005;9354187804;"ИП ""Севергруз-5 Групп""";Красноярск;A;2025-05-29;9999-12-31;1
S1006;8563157612;"АО ""УралДеталь-6""";Москва;B;2024-01-01;2024-09-01;0
S1006;8563157612;"АО ""УралДеталь-6 Групп""";Москва;C;2024-09-02;9999-12-31;1
S1007;9648479014;"ПАО ""ДельтаЛогистик-7""";Ростов-на-Дону;B;2024-01-01;2025-07-19;0
S1007;9648479014;"ПАО ""ДельтаЛогистик-7 Групп""";Ростов-на-Дону;B;2025-07-20;9999-12-31;1
S1008;7408027797;"ПАО ""ТехКомплект-8""";Санкт-Петербург;B;2024-01-01;2024-08-13;0
S1008;7408027797;"АО ""ТехКомплект-8 Групп""";Санкт-Петербург;C;2024-08-14;9999-12-31;1
S1009;7262793677;"ООО ""ДельтаЛогистик-9""";Санкт-Петербург;A;2024-01-01;2025-06-06;0
S1009;7262793677;"ИП ""ДельтаЛогистик-9 Групп""";Санкт-Петербург;A;2025-06-07;9999-12-31;1
S1010;4025236040;"ООО ""ГидроПром-10""";Екатеринбург;C;2024-01-01;2024-08-21;0
S1010;4025236040;"ПАО ""ГидроПром-10 Групп""";Екатеринбург;A;2024-08-22;9999-12-31;1
S1011;1268657293;"ООО ""ПромСнаб-11""";Казань;B;2024-01-01;2025-07-17;0
S1011;1268657293;"ООО ""ПромСнаб-11 Групп""";Казань;A;2025-07-18;9999-12-31;1
S1012;6224825860;"ПАО ""АльфаСнаб-12""";Екатеринбург;C;2024-01-01;2025-08-05;0
S1012;6224825860;"ПАО ""АльфаСнаб-12 Групп""";Екатеринбург;A;2025-08-06;9999-12-31;1
S1013;7679741117;"ПАО ""ГаммаПром-13""";Самара;C;2024-01-01;2024-12-04;0
S1013;7679741117;"ПАО ""ГаммаПром-13 Групп""";Самара;A;2024-12-05;9999-12-31;1
S1014;7761929248;"АО ""ЭпсилонТех-14""";Красноярск;C;2024-01-01;2024-07-20;0
S1014;7761929248;"ИП ""ЭпсилонТех-14 Групп""";Красноярск;B;2024-07-21;9999-12-31;1
S1015;3556215410;"ИП ""ГидроПром-15""";Новосибирск;B;2024-01-01;2025-04-29;0
S1015;3556215410;"ООО ""ГидроПром-15 Групп""";Новосибирск;C;2025-04-30;9999-12-31;1
S1016;3879955568;"ПАО ""ЭпсилонТех-16""";Санкт-Петербург;A;2024-01-01;9999-12-31;1
S1017;4885347209;"ООО ""ГидроПром-17""";Новосибирск;B;2024-01-01;9999-12-31;1
